machine_id,signal_name,signal_value,event_type,is_failure,timestamp
robot_arm_01,vibration,3.72,reading,0,2026-02-08T22:00:00
robot_arm_01,vibration,3.36,reading,0,2026-03-01T16:00:00
cnc_mill_01,vibration,2.64,reading,0,2026-02-22T19:00:00
press_line_01,pressure,5.52,reading,0,2026-03-11T03:00:00
robot_arm_01,vibration,2.97,reading,0,2026-02-06T20:00:00
robot_arm_01,vibration,2.42,reading,0,2026-02-03T01:00:00
press_line_01,pressure,5.15,reading,0,2026-02-17T21:00:00
cnc_mill_01,vibration,4.2,failure,1,2026-02-11T00:00:00
cnc_mill_01,vibration,2.21,reading,0,2026-02-01T14:00:00
press_line_01,pressure,4.6,reading,0,2026-02-28T08:00:00
cnc_mill_01,vibration,2.5,reading,0,2026-03-19T03:00:00
press_line_01,pressure,5.48,reading,0,2026-01-06T06:00:00
press_line_01,pressure,5.7,reading,0,2026-04-28T11:00:00
cnc_lathe_01,vibration,2.91,reading,0,2026-01-21T16:00:00
robot_arm_01,temperature,67.64,reading,0,2026-04-15T08:00:00
robot_arm_01,temperature,67.4,reading,0,2026-02-15T04:00:00
cnc_lathe_01,vibration,2.34,reading,0,2026-03-01T19:00:00
robot_arm_01,temperature,67.0,reading,0,2026-01-03T18:00:00
robot_arm_01,vibration,3.35,reading,0,2026-04-21T21:00:00
cnc_mill_01,temperature,72.87,reading,0,2026-04-04T12:00:00
robot_arm_01,temperature,65.42,reading,0,2026-03-09T02:00:00
robot_arm_01,vibration,2.98,reading,0,2026-03-31T02:00:00
cnc_mill_01,vibration,3.08,reading,0,2026-03-08T15:00:00
cnc_mill_01,vibration,1.7,reading,0,2026-02-27T01:00:00
cnc_lathe_01,vibration,2.35,reading,0,2026-01-16T01:00:00
cnc_lathe_01,vibration,3.78,reading,0,2026-04-23T15:00:00
cnc_lathe_01,vibration,3.59,reading,0,2026-01-17T06:00:00
cnc_mill_01,vibration,2.87,reading,0,2026-04-30T02:00:00
cnc_mill_01,vibration,3.14,reading,0,2026-01-12T08:00:00
cnc_mill_01,temperature,75.53,reading,0,2026-01-15T18:00:00
cnc_mill_01,vibration,2.97,reading,0,2026-03-06T14:00:00
cnc_mill_01,temperature,70.62,reading,0,2026-02-09T16:00:00
robot_arm_01,vibration,3.87,reading,0,2026-03-26T07:00:00
press_line_01,pressure,5.53,reading,0,2026-03-07T19:00:00
robot_arm_01,temperature,71.4,reading,0,2026-02-10T07:00:00
press_line_01,pressure,5.15,reading,0,2026-04-28T02:00:00
robot_arm_01,vibration,3.01,reading,0,2026-01-27T13:00:00
cnc_mill_01,temperature,68.89,reading,0,2026-02-26T08:00:00
cnc_mill_01,temperature,69.45,reading,0,2026-02-19T01:00:00
